acc,accm,amloc,anpm,cbo,dit,lcom4,loc,noa,noc,nom,npa,npm,rfc,sc, good_design
1,2.375,11.125,0.625,8,8,7,89,0,0,8,0,7,31,56,1
0,1.6,8.6,0.9,6,8,10,86,0,0,10,0,8,27,60,1
1,2,10.0909090909,0.9090909091,5,7,8,111,0,1,11,0,10,31,40,1
1,1.7142857143,7,0.3571428571,11,5,13,98,0,1,14,0,12,39,143,1
1,2.7692307692,13.7692307692,0.6153846154,11,7,11,179,0,1,13,0,11,50,121,1
0,1,4.75,0.625,2,8,8,38,0,0,8,0,7,11,16,1
0,2.2777777778,9.4444444444,0.5,10,5,11,170,1,0,18,0,16,57,110,1
0,1.875,9.25,0.625,7,6,8,74,0,0,8,0,8,22,56,1
1,3.85,24.35,1.2,19,5,10,487,0,1,20,0,16,94,190,0
3,3.25,17.875,0.875,13,7,4,143,0,2,8,0,4,38,52,1
1,4.5,24.5,1,2,8,2,49,0,1,2,0,2,4,4,1
0,1.25,3.75,0.75,2,7,4,15,0,0,4,0,4,7,8,1
0,1.8,8.8,0.8,4,8,4,44,0,0,5,0,5,13,16,1
0,1,4,1,0,6,2,8,0,0,2,0,2,2,0,1
0,1,4.25,0.75,1,6,4,17,0,0,4,0,4,6,4,1
0,1,4,1,0,7,3,12,0,0,3,0,3,4,0,1
0,1.25,6.5,1,3,7,4,26,0,0,4,0,4,8,12,1
0,1.5,8.3333333333,1,5,6,6,50,0,0,6,0,6,16,30,1
0,1,4,0.6666666667,1,7,3,12,0,0,3,0,3,4,3,1
1,2,10,1.1428571429,8,7,4,70,1,0,7,1,6,28,32,1
62,5.725,36.5,2.1,26,5,10,1460,4,2,40,4,29,247,260,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,2,0,6,1,2,0,0,1,0,1,1,0,1
0,1,2,2,0,8,1,2,0,0,1,0,1,1,0,1
0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1
8,1,1.09375,0.25,0,1,32,35,5,6,32,0,32,32,0,1
9,1,1,0.4166666667,0,0,12,12,0,1,12,0,12,12,0,1
2,1,1,0,0,2,2,2,0,2,2,0,2,2,0,1
0,1,1,0,0,3,1,1,0,0,1,0,1,1,0,1
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,2,1,1,1,0,1,0,1,1,0,1
0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1
